Salinity[psu],Temperature[celsius],Pressure[dbar],Density[kg_m3],Depth[m]
33.4039,9.0423,122.518,1026.4194127769592,121.80877509259163
33.4041,9.0416,122.438,1026.4193178554758,121.72926176888058
33.4043,9.0415,122.307,1026.418895080667,121.59905863485025
33.4047,9.0414,122.152,1026.4185196320059,121.44500138495489
33.405,9.0413,122.144,1026.4187338586144,121.43705003988977
33.4051,9.0417,122.219,1026.4190886913757,121.5115938877944
33.4056,9.04,122.368,1026.420428946217,121.6596875853897
33.4053,9.0398,122.441,1026.4205580993066,121.7322435190751
33.4063,9.0398,122.464,1026.421444427182,121.7551036024621
33.4067,9.0401,122.55,1026.4220998103165,121.8405804134595
33.4062,9.0405,122.597,1026.421858332835,121.88729446955763
33.4069,9.0412,122.51,1026.4218981858478,121.8008237616053
33.4066,9.0401,122.441,1026.4215264138647,121.7322435190751
33.4072,9.0409,122.407,1026.4217128554758,121.69845034766982
33.4076,9.0401,122.406,1026.4221492332404,121.69745643077967
33.4079,9.0409,122.394,1026.4222010755261,121.68552942772244
33.4076,9.0403,122.347,1026.4218491355202,121.63881532574808
33.4078,9.0407,122.342,1026.4219186920566,121.6338457398066
33.4066,9.0409,122.281,1026.4206713086269,121.5732167816411
33.4064,9.0413,122.341,1026.4207234417254,121.63285182260385
33.407,9.0423,122.492,1026.421718316955,121.782933265761
33.406,9.0415,122.435,1026.420805724848,121.7262800186428
33.4073,9.042,122.534,1026.4221917556329,121.82467775364104
33.4071,9.0415,122.524,1026.4220700830697,121.8147385906294
33.408,9.0419,122.534,1026.4227550607075,121.82467775364104
33.4066,9.0423,122.508,1026.4214782771314,121.79883592881066
33.4059,9.0424,122.373,1026.4203016402091,121.66465717070614
33.4058,9.0421,122.228,1026.4196127646276,121.52053914772539
33.4062,9.0427,122.296,1026.4201382856436,121.58812554350463
33.4066,9.0452,122.287,1026.4200094599682,121.57918028651633
33.407,9.0443,122.357,1026.4207844595992,121.64875449727047
33.4067,9.0442,122.392,1026.4207249505519,121.68354159381224
33.4063,9.0489,122.473,1026.420026819039,121.76404885179069
33.4067,9.0426,122.539,1026.4216492218288,121.82964733496654
33.4066,9.0453,122.521,1026.4210565277397,121.81175684163213
33.408,9.042,122.632,1026.4231842673587,121.92208152570949
33.4073,9.0429,122.452,1026.4216749827249,121.74317660275148
33.4084,9.0442,122.402,1026.4220994830216,121.69348076317085
33.4088,9.0394,122.389,1026.42312235937,121.68055984291088
33.4073,9.0444,122.367,1026.4210484109715,121.65869366831203
33.4078,9.0446,122.451,1026.4217888920173,121.74218268607764
33.4078,9.0429,122.445,1026.4220340937502,121.73621918593382
33.4076,9.0448,122.441,1026.4215550398976,121.7322435190751
33.4079,9.043,122.516,1026.4224188155547,121.8067872598739
33.4071,9.0428,122.508,1026.421789061766,121.79883592881066
33.4082,9.0439,122.515,1026.422504577109,121.80579334350784
33.4081,9.0432,122.551,1026.4227021382708,121.8415743296573
33.4077,9.0444,122.554,1026.422210709496,121.84455607822181
33.4078,9.0447,122.55,1026.4222226347492,121.8405804134595
33.407,9.0439,122.521,1026.421593647376,121.81175684163213
33.4071,9.0417,122.534,1026.422083465413,121.82467775364104
33.4081,9.0434,122.471,1026.4223066314717,121.76206101864027
33.4086,9.0453,122.486,1026.422461159927,121.77696976680002
33.4075,9.0457,122.4,1026.4211463320262,121.69149292933761
33.4079,9.0456,122.281,1026.4209344561832,121.5732167816411
33.4079,9.0457,122.287,1026.4209456862357,121.57918028651633
33.4069,9.0462,122.287,1026.4200837204378,121.57918028651633
33.4076,9.0457,122.332,1026.4209155810279,121.62390656756293
33.4069,9.0454,122.405,1026.4207480414914,121.69646251388467
33.4082,9.0435,122.515,1026.422568686203,121.80579334350784
33.4082,9.042,122.553,1026.422981721472,121.84356216203842
33.4079,9.0421,122.606,1026.4229719362286,121.89623971313068
33.4081,9.0415,122.566,1026.4230427266086,121.85648307204707
33.4077,9.0415,122.47,1026.4222938475125,121.7610671020578
33.4078,9.0414,122.384,1026.4219973389013,121.67559025797914
33.4076,9.0436,122.435,1026.4217201110573,121.7262800186428
33.408,9.0433,122.441,1026.4221081805845,121.7322435190751
33.4069,9.0426,122.466,1026.4214739344065,121.7570914356799
33.4077,9.0431,122.513,1026.4222327943637,121.80380551076124
33.4079,9.0428,122.448,1026.4221419321404,121.73920093602736
33.4072,9.0433,122.406,1026.4213237087022,121.69745643077967
33.4075,9.0431,122.431,1026.421703888759,121.72230435159175
33.4075,9.0437,122.452,1026.421703135481,121.74317660275148
33.4074,9.0443,122.344,1026.4210381280514,121.63583357419762
33.4063,9.0429,122.297,1026.4201889607004,121.5891194609237
33.4059,9.0427,122.297,1026.4199082805703,121.5891194609237
33.4067,9.0431,122.325,1026.4205968496262,121.61694914670636
33.4072,9.0438,122.36,1026.421034589399,121.65173624863345
33.4065,9.042,122.471,1026.4212800716145,121.76206101864027
33.4064,9.0437,122.493,1026.4210293984875,121.78392718223762
33.4065,9.0436,122.587,1026.4215506653657,121.87735530957522
33.4059,9.0425,122.466,1026.4207081330794,121.7570914356799
33.406,9.0416,122.399,1026.4206261444867,121.69049901241375
33.4059,9.0413,122.328,1026.4202734644016,121.6199308985309
33.4057,9.0412,122.344,1026.420205813912,121.63583357419762
33.4054,9.0416,122.39,1026.4201161578724,121.68155375988279
33.4039,9.0411,122.483,1026.4194460541278,121.77398801725461
33.4041,9.0409,122.458,1026.4195208857632,121.74914010269335
33.4033,9.0409,122.415,1026.4187000620557,121.70640168261822
33.4046,9.0412,122.489,1026.420004570336,121.77995151630213
33.4047,9.0414,122.422,1026.4197463089063,121.71335910044559
33.4057,9.0415,122.386,1026.420348557938,121.67757809196625
